CustomizationOrderMenuID,IngredientID
6,6
6,13
10,6
17,6
19,6
20,6
20,13
21,6
21,13
22,13
24,2
24,6
24,13
24,14
24,33
24,46
28,6
28,13
30,13
32,1
34,6
35,6
35,13
40,1
41,1
43,2
43,6
43,13
43,14
43,33
43,46
44,2
44,6
45,13
47,6
47,13
47,14
47,33
50,6
50,13
50,14
50,33
52,6
52,13
52,14
56,13
59,13
60,2
60,6
60,13
60,14
60,33
61,13
62,6
62,13
66,6
69,6
69,13
72,6
72,13
73,1
83,1
84,2
84,6
84,13
84,14
90,13
92,6
92,13
92,14
94,6
95,6
97,1
100,6
106,2
106,6
106,13
106,14
106,33
107,6
107,13
107,14
107,33
110,13
111,6
114,1
117,2
117,6
117,13
119,6
119,13
121,6
128,6
128,13
136,6
138,6
143,2
143,6
143,13
143,14
144,6
144,13
144,14
145,6
146,6
146,13
146,14
148,2
149,6
149,13
149,14
149,33
154,2
157,6
157,13
162,13
164,6
169,6
169,13
169,14
169,33
179,13
186,6
186,13
188,6
188,13
199,6
202,1
203,2
207,13
211,6
217,2
217,6
217,13
217,14
217,33
221,2
221,6
221,13
221,14
221,33
225,13
227,2
227,6
227,13
227,14
227,33
227,46
233,6
233,13
233,14
233,33
236,13
238,6
238,13
239,6
239,13
242,6
243,6
243,13
243,14
243,33
245,6
245,13
245,14
246,6
246,13
246,14
246,33
247,2
247,6
247,13
247,14
247,33
247,46
248,6
257,2
259,6
263,1
265,2
265,6
265,13
265,14
272,6
272,13
273,13
276,13
277,6
277,13
277,14
278,13
281,13
288,13
291,6
291,13
291,14
291,33
293,6
295,6
295,13
295,14
297,1
300,13
301,6
302,13
305,6
305,13
310,6
312,6
315,6
315,13
315,14
315,33
316,1
318,6
321,6
323,13
337,2
337,6
337,13
337,14
337,33
337,46
338,13
340,13
341,13
344,6
344,13
344,14
348,13
350,6
357,2
357,6
357,13
357,14
357,33
358,1
359,13
364,2
364,6
364,13
364,14
376,6
376,13
376,14
378,2
378,6
378,13
380,6
380,13
380,14
380,33
386,1
391,13
394,2
394,6
394,13
394,14
396,6
398,13
401,1
410,6
410,13
410,14
410,33
416,6
416,13
419,6
420,6
420,13
420,14
423,6
423,13
427,6
429,1
430,13
433,13
434,2
434,6
434,13
434,14
434,33
434,46
435,1
438,1
448,13
454,6
454,13
454,14
454,33
455,6
460,6
460,13
460,14
460,33
464,6
464,13
467,6
469,13
470,6
470,13
473,13
477,6
478,1
479,13
485,2
485,6
485,13
485,14
486,2
486,6
486,13
486,14
486,33
486,46
491,6
491,13
498,6
498,13
498,14
500,6
500,13
500,14
503,1
511,6
512,6
512,13
513,6
517,1
519,13
522,13
523,6
526,13
528,6
528,13
528,14
529,13
536,6
536,13
536,14
536,33
541,6
541,13
541,14
542,2
544,6
547,6
547,13
548,6
548,13
548,14
548,33
550,2
550,6
550,13
550,14
550,33
550,46
551,2
551,6
551,13
551,14
551,33
552,2
552,6
552,13
555,6
555,13
555,14
556,6
559,6
560,6
560,13
572,2
572,6
572,13
572,14
572,33
572,46
577,2
577,6
577,13
581,6
581,13
584,6
584,13
584,14
584,33
585,2
585,6
587,6
587,13
588,13
591,13
593,6
593,13
594,6
595,13
597,6
605,6
605,13
605,14
605,33
607,6
607,13
607,14
607,33
610,1
611,13
614,13
618,13
619,6
621,13
622,6
630,2
630,6
630,13
630,14
631,13
632,6
634,6
634,13
634,14
635,13
636,1
643,13
649,6
649,13
650,6
650,13
652,13
654,2
658,1
659,6
662,6
663,6
664,2
664,6
664,13
664,14
672,6
673,6
673,13
673,14
675,6
675,13
675,14
675,33
677,6
685,6
685,13
685,14
687,6
687,13
687,14
687,33
702,6
702,13
702,14
702,33
703,6
704,1
708,6
711,13
715,13
716,6
719,6
720,1
722,6
722,13
728,6
734,2
734,6
734,13
736,6
738,6
738,13
738,14
738,33
743,6
750,6
750,13
750,14
750,33
758,2
758,6
758,13
758,14
759,13
760,6
760,13
760,14
760,33
762,6
762,13
762,14
762,33
769,6
769,13
770,13
774,6
774,13
774,14
782,13
784,6
786,6
786,13
787,6
787,13
787,14
787,33
791,6
792,13
794,6
795,6
795,13
800,1
801,6
801,13
801,14
804,1
808,2
808,6
808,13
809,6
809,13
810,6
810,13
811,6
811,13
811,14
811,33
817,13
822,2
822,6
822,13
822,14
823,6
825,6
825,13
825,14
832,13
837,6
845,6
847,6
848,6
856,13
861,6
861,13
861,14
861,33
863,6
864,1
870,6
871,6
877,6
886,1
887,2
887,6
887,13
887,14
887,33
888,1
889,6
891,6
894,6
894,13
897,6
898,6
899,6
899,13
899,14
899,33
901,6
903,6
903,13
903,14
903,33
904,6
907,1
910,6
915,13
921,6
921,13
925,13
926,6
926,13
926,14
927,2
927,6
927,13
927,14
927,33
931,13
934,6
941,6
941,13
941,14
941,33
943,6
943,13
946,6
946,13
946,14
952,13
954,6
954,13
955,1
956,6
957,6
958,13
961,6
961,13
962,6
967,13
975,13
983,6
983,13
984,6
984,13
991,13
995,6
995,13
997,6
1000,2
1000,6
1001,6
1004,6
1004,13
1004,14
1004,33
1012,6
1012,13
1012,14
1014,13
1016,6
1021,6
1025,6
1025,13
1026,6
1026,13
1027,6
1027,13
1027,14
1027,33
1029,6
1029,13
1029,14
1029,33
1030,6
1032,13
1041,6
1047,6
1047,13
1047,14
1048,6
1057,6
1058,2
1058,6
1058,13
1058,14
1058,33
1058,46
1060,6
1062,13
1072,1
1073,6
1076,6
1076,13
1078,6
1078,13
1078,14
1079,13
1080,6
1081,13
1082,1
1084,1
1088,6
1088,13
1089,6
1100,6
1100,13
1100,14
1100,33
1102,2
1102,6
1102,13
1102,14
1102,33
1106,13
1109,2
1111,6
1116,1
1117,13
1118,13
1120,2
1120,6
1121,2
1121,6
1121,13
1121,14
1121,33
1125,6
1125,13
1125,14
1125,33
1130,13
1135,6
1138,2
1138,6
1138,13
1139,13
1141,6
1141,13
1144,2
1144,6
1145,1
1154,6
1155,6
1155,13
1158,6
1159,6
1160,13
1167,6
1167,13
1167,14
1172,6
1176,13
1179,1
1183,6
1183,13
1191,6
1191,13
1192,13
1193,13
1194,6
1202,1
1208,2
1208,6
1208,13
1208,14
1208,33
1210,6
1211,13
1217,1
1218,6
1221,13
1223,6
1224,2
1224,6
1224,13
1224,14
1224,33
1230,2
1230,6
1230,13
1246,6
1246,13
1247,1
1248,6
1248,13
1248,14
1249,6
1255,6
1255,13
1262,13
1265,6
1265,13
1265,14
1269,6
1269,13
1269,14
1269,33
1270,6
1270,13
1270,14
1272,13
1273,6
1273,13
1273,14
1279,2
1279,6
1279,13
1279,14
1279,33
1279,46
1280,13
1287,13
1295,6
1298,13
1299,2
1299,6
1299,13
1299,14
1299,33
1299,46
1305,6
1305,13
1307,13
1311,6
1311,13
1312,6
1312,13
1312,14
1313,1
1314,1
1315,6
1317,13
1320,13
1322,6
1327,13
1329,6
1331,6
1335,1
1336,2
1336,6
1336,13
1336,14
1340,6
1341,1
1343,1
1346,1
1350,13
1354,6
1354,13
1354,14
1362,13
1367,6
1367,13
1368,6
1370,6
1370,13
